MOF,H fraction,He fraction,Li fraction,Be fraction,B fraction,C fraction,N fraction,O fraction,F fraction,Ne fraction,Na fraction,Mg fraction,Al fraction,Si fraction,P fraction,S fraction,Cl fraction,Ar fraction,K fraction,Ca fraction,Sc fraction,Ti fraction,V fraction,Cr fraction,Mn fraction,Fe fraction,Co fraction,Ni fraction,Cu fraction,Zn fraction,Ga fraction,Ge fraction,As fraction,Se fraction,Br fraction,Kr fraction,Rb fraction,Sr fraction,Y fraction,Zr fraction,Nb fraction,Mo fraction,Tc fraction,Ru fraction,Rh fraction,Pd fraction,Ag fraction,Cd fraction,In fraction,Sn fraction,Sb fraction,Te fraction,I fraction,Xe fraction,Cs fraction,Ba fraction,La fraction,Ce fraction,Pr fraction,Nd fraction,Pm fraction,Sm fraction,Eu fraction,Gd fraction,Tb fraction,Dy fraction,Ho fraction,Er fraction,Tm fraction,Yb fraction,Lu fraction,Hf fraction,Ta fraction,W fraction,Re fraction,Os fraction,Ir fraction,Pt fraction,Au fraction,Hg fraction,Tl fraction,Pb fraction,Bi fraction,Po fraction,At fraction,Rn fraction,Fr fraction,Ra fraction,Ac fraction,Th fraction,Pa fraction,U fraction,Np fraction,Pu fraction,Am fraction,Cm fraction,Bk fraction,Cf fraction,Es fraction,Fm fraction,Md fraction,No fraction,Lr fraction,Rf fraction,Db fraction,Sg fraction,Bh fraction,Hs fraction,Mt fraction,Ds fraction,Rg fraction,Cn fraction,Nh fraction,Fl fraction,Mc fraction,Lv fraction,Ts fraction,Og fraction,mean AtomicWeight,mean Column,mean Row,range Number,mean Number,range AtomicRadius,mean AtomicRadius,range Electronegativity,mean Electronegativity,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,energy
ABEFUL_w_H2O_1_relaxed,0.2762430939226519,0,0.0,0.0,0.0,0.4861878453038674,0.0441988950276243,0.1381215469613259,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0441988950276243,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.011049723756906,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.120154143646408,10.696132596685082,1.8121546961325967,64.0,6.033149171270718,1.5,0.5845303867403315,2.23,2.584419889502762,1.723756906077348,1.8342541436464088,0.0,0.0994475138121546,0.4712990936555891,0.5015105740181268,0.0,0.0271903323262839,-0.4969990399999157
ABESUX_w_H2O_1_relaxed,0.0194174757281553,0,0.0,0.0,0.0,0.0,0.0,0.6310679611650486,0.0,0,0.0,0.0,0.0,0.0,0.1553398058252427,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.1941747572815534,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.14694438834952,13.029126213592232,3.1067961165048543,91.0,25.262135922330096,1.5,0.8786407766990292,2.06,2.821747572815534,1.980582524271845,2.9902912621359223,0.1941747572815534,0.5825242718446602,0.3445945945945945,0.5202702702702703,0.0337837837837837,0.1013513513513513,1.807776578000039
ABEXEM_w_H2O_1_relaxed,0.1224489795918367,0,0.0,0.0,0.0,0.3809523809523809,0.1088435374149659,0.3333333333333333,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0544217687074829,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.11607945578232,12.585034013605442,2.095238095238096,56.0,8.938775510204081,1.7,0.6741496598639456,2.34,2.7782312925170065,1.8775510204081636,2.421768707482993,0.0544217687074829,0.0,0.4312499999999999,0.5562499999999999,0.0124999999999999,0.0,-0.6293549899999107
ABEXIQ_w_H2O_1_relaxed,0.1224489795918367,0,0.0,0.0,0.0,0.3809523809523809,0.1088435374149659,0.3333333333333333,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0544217687074829,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.181958639455782,12.585034013605442,2.095238095238096,57.0,8.993197278911564,1.6,0.6687074829931974,2.32,2.7793197278911563,1.8775510204081636,2.421768707482993,0.0544217687074829,0.0544217687074829,0.425925925925926,0.5493827160493828,0.0123456790123456,0.0123456790123456,0.394688872000188
ABEXOW_w_H2O_3_relaxed,0.1224489795918367,0,0.0,0.0,0.0,0.3809523809523809,0.1088435374149659,0.3333333333333333,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0544217687074829,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.22504163265306,12.585034013605442,2.095238095238096,58.0,9.047619047619047,1.6,0.6687074829931974,2.31,2.779863945578231,1.8775510204081636,2.421768707482993,0.0,0.1632653061224489,0.4207317073170732,0.5426829268292683,0.0,0.0365853658536585,-0.5674577799996428
ABEYAJ_w_H2O_1_relaxed,0.1224489795918367,0,0.0,0.0,0.0,0.3809523809523809,0.1088435374149659,0.3333333333333333,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0544217687074829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.73945523809524,12.585034013605442,2.095238095238096,61.0,9.210884353741497,1.6,0.6687074829931974,2.27,2.7820408163265307,1.8775510204081636,2.421768707482993,0.0,0.3265306122448979,0.4058823529411765,0.5235294117647059,0.0,0.0705882352941176,-0.5796086783332157
ABEYIR_w_H2O_1_relaxed,0.1224489795918367,0,0.0,0.0,0.0,0.3809523809523809,0.1088435374149659,0.3333333333333333,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0544217687074829,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1144212244898,12.585034013605442,2.095238095238096,63.0,9.319727891156464,1.55,0.6659863945578232,2.24,2.783673469387755,1.8775510204081636,2.421768707482993,0.0544217687074829,0.3809523809523809,0.396551724137931,0.5114942528735632,0.0114942528735632,0.0804597701149425,-0.4976270300000124
ABIXOZ_w_H2O_2_relaxed,0.0256410256410256,0,0.0,0.0,0.0,0.0,0.0,0.6794871794871795,0.0,0,0.0,0.0,0.0,0.0,0.1025641025641025,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.1538461538461538,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.103766166666663,13.705128205128204,2.6153846153846154,41.0,14.5,1.2,0.7916666666666666,1.56,3.023076923076923,1.8205128205128205,3.025641025641025,1.0384615384615383,0.0,0.3093681917211329,0.5141612200435729,0.1764705882352941,0.0,2.283969556666724
ABULOB_w_H2O_1_relaxed,0.1894736842105263,0,0.0,0.1263157894736842,0.0,0.0,0.0,0.5157894736842106,0.0,0,0.0,0.0,0.0,0.0,0.1684210526315789,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.798314694736842,11.221052631578948,1.9789473684210528,14.0,7.347368421052631,0.8,0.6578947368421053,1.87,2.758315789473684,1.8105263157894735,2.568421052631579,0.0,0.0,0.4134615384615384,0.5865384615384615,0.0,0.0,0.0842807599999332
ABUWOJ_w_H2O_1_relaxed,0.2555066079295154,0,0.0,0.0,0.0,0.4229074889867841,0.0,0.2511013215859031,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704845814977973,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.962702731277531,11.039647577092513,1.8854625550660795,29.0,6.916299559471366,1.1,0.6057268722466959,1.79,2.620616740088105,1.7444933920704846,1.8502202643171808,0.7048458149779736,0.0,0.4057377049180328,0.430327868852459,0.1639344262295082,0.0,-0.4918754879999142
