MOF,atomic_num_mean,atomic_num_geometric_mean,atomic_num_standard_deviation,atomic_num_max,atomic_num_min,group_num_mean,group_num_geometric_mean,group_num_standard_deviation,group_num_max,group_num_min,period_num_mean,period_num_geometric_mean,period_num_standard_deviation,period_num_max,period_num_min,electronegativity_mean,electronegativity_geometric_mean,electronegativity_standard_deviation,electronegativity_max,electronegativity_min,electron_affinity_mean,electron_affinity_geometric_mean,electron_affinity_standard_deviation,electron_affinity_max,electron_affinity_min,melting_mean,melting_geometric_mean,melting_standard_deviation,melting_max,melting_min,boiling_mean,boiling_geometric_mean,boiling_standard_deviation,boiling_max,boiling_min,density_mean,density_geometric_mean,density_standard_deviation,density_max,density_min,ionization_energy_mean,ionization_energy_geometric_mean,ionization_energy_standard_deviation,ionization_energy_max,ionization_energy_geometric_min,energy
ABEFUL_w_CO2_1_relaxed,6.099447513812155,4.197182519846987,7.079739181430305,65.0,1.0,11.027624309392266,7.175725409394648,6.087239564557579,19.0,1.0,1.8232044198895028,1.7149597582798135,0.6744858546754412,6.0,1.0,,,,,,124.93646408839778,108.61106157108324,45.78494525285272,200.0,7.0,1929.439281767956,350.63320631707285,1871.1024971213467,3823.15,14.009999999999993,2206.63773480663,460.2761626766262,2093.5797059486563,4300.15,20.279999999999973,1289.0026364640885,38.649331344778666,1328.9730525728994,8219.0,0.0899,1183.3298342541434,1174.281230386303,138.833731370553,1402.3,565.8,-0.3036845850000134
ABESUX_w_CO2_random_1_relaxed,25.37864077669903,14.133369064781109,32.798329493588355,92.0,6.0,16.40776699029126,16.356671902505376,1.3324690069357483,19.0,14.0,3.1262135922330097,2.71661602433352,1.9342573982109248,7.0,2.0,2.837184466019418,2.6779758119590777,0.8432213053853554,3.44,1.38,,,,,,394.98883495145634,140.98772277268938,623.2897120070156,3823.15,54.849999999999966,1001.1461165048544,261.79524326821144,1629.5877209813736,4300.15,90.24999999999996,4005.071009708736,29.47696299939289,7415.641981724835,19050.0,1.429,1125.6766990291258,1080.6815990327252,280.85462473273213,1313.9,597.6,-0.5914658000000372
ABEXEM_w_CO2_1_relaxed,9.020408163265309,6.258162816814294,11.6883972864512,57.0,1.0,13.64625850340136,11.261171668737212,4.593403612736695,19.0,1.0,2.108843537414966,1.9689315069561744,0.9837402711578354,6.0,1.0,2.7890476190476194,2.705339220632677,0.6051168811967627,3.44,1.1,118.93265306122449,92.32097696226698,50.08896461252183,153.9,7.0,1574.3687755102042,294.269107027448,1807.705402632294,3823.15,14.009999999999993,1912.1121768707485,413.297321575397,2068.201116790768,4300.15,20.279999999999973,1211.4347238095238,28.588801680251308,1602.6900516290016,6146.0,0.0899,1192.9190476190474,1170.7661022198156,197.53549076907345,1402.3,538.1,-0.46665692374998
ABEXIQ_w_CO2_1_relaxed,9.07482993197279,6.264088905627129,11.911857943450904,58.0,1.0,13.64625850340136,11.261171668737212,4.593403612736695,19.0,1.0,2.108843537414966,1.9689315069561744,0.9837402711578354,6.0,1.0,2.7901360544217693,2.7079933745194134,0.6020881875363666,3.44,1.12,119.04149659863944,92.52630571483776,49.93665081239261,153.9,7.0,1567.7837414965989,292.56011248478694,1809.305418226402,3823.15,14.009999999999993,1906.45231292517,412.6630010675611,2063.3355325143184,4300.15,20.279999999999973,1240.9857442176872,28.72082867905036,1695.7096512166456,6689.0,0.0899,1192.7176870748294,1170.3265632381608,198.2036428547893,1402.3,534.4,0.526259147500042
ABEXOW_w_CO2_1_relaxed,9.129251700680271,6.269919157330638,12.135444296917422,59.0,1.0,13.64625850340136,11.261171668737212,4.593403612736695,19.0,1.0,2.108843537414966,1.9689315069561744,0.9837402711578354,6.0,1.0,2.7906802721088435,2.7093036892896105,0.6005809657436135,3.44,1.13,119.04149659863944,92.52630571483776,49.93665081239261,153.9,7.0,1575.021836734694,294.4295458152937,1807.5693647626915,3823.15,14.009999999999993,1902.642789115646,412.2263135604334,2060.206271718838,4300.15,20.279999999999973,1238.3190775510204,28.709338859761843,1687.156987584141,6640.0,0.0899,1192.3149659863943,1169.4387847662344,199.54382682417992,1402.3,527.0,-0.3031877512497942
ABEYAJ_w_CO2_1_relaxed,9.29251700680272,6.286865490145888,12.806891684443094,62.0,1.0,13.64625850340136,11.261171668737212,4.593403612736695,19.0,1.0,2.108843537414966,1.9689315069561744,0.9837402711578354,6.0,1.0,2.792857142857143,2.7144375896269537,0.5946004203361663,3.44,1.17,119.04149659863944,92.52630571483776,49.93665081239261,153.9,7.0,1582.6953061224492,296.2091969529886,1806.2774809280827,3823.15,14.009999999999993,1821.7176190476189,400.2853572886649,2022.2470348328488,4300.15,20.279999999999973,1277.1217986394558,28.869142518276306,1814.348154630528,7353.0,0.0899,1193.2673469387753,1171.5196825091475,196.3828705843452,1402.3,544.5,-0.3962696950000292
ABEYIR_w_CO2_1_relaxed,9.401360544217686,6.297737453761566,13.25503876156868,64.0,1.0,13.64625850340136,11.261171668737212,4.593403612736695,19.0,1.0,2.108843537414966,1.9689315069561744,0.9837402711578354,6.0,1.0,2.794489795918368,2.7181802278036646,0.5901667972152724,3.44,1.2,119.04149659863944,92.52630571483776,49.93665081239261,153.9,7.0,1595.8109523809526,298.8778272353069,1805.379757355355,3823.15,14.009999999999993,1900.4659183673468,411.973121536297,2058.4709856939653,4300.15,20.279999999999973,1306.9449278911566,28.98229654678905,1915.6503553196503,7901.0,0.0899,1195.928571428571,1177.015613516736,187.71321881265263,1402.3,593.4,-0.3939730137500703
ABIXOZ_w_CO2_1_relaxed,14.653846153846152,11.497417447137718,12.350466536477034,42.0,6.0,14.064102564102564,13.34619395858377,3.698023531666972,16.0,6.0,2.641025641025641,2.465416250015694,1.109104038660624,5.0,2.0,3.043461538461539,2.9757188206495604,0.599024478167451,3.44,1.88,120.38205128205124,115.04709917841916,32.31103147172188,153.9,63.7,633.1038461538463,145.89295668565617,1099.8362816034762,3823.15,54.849999999999966,1053.1935897435894,242.3337602686672,1808.5903846316296,4912.15,90.24999999999996,2140.78417948718,17.94321986363449,3889.4902833693054,10280.0,1.429,1161.8499999999997,1130.1707465080624,244.27729396354852,1313.9,684.3,3.443304410000087
ABULOB_w_CO2_1_relaxed,7.473684210526316,5.72307972970047,4.276846120961364,15.0,1.0,11.51578947368421,7.619302818306582,6.538731822793736,16.0,1.0,2.0,1.905406674254127,0.5803810000880093,3.0,1.0,2.7750526315789474,2.669518374001912,0.7280238192809653,3.44,1.57,100.04947368421053,0.0,49.44411172155404,153.9,0.0,321.9916842105262,93.49948414561348,613.3665849231775,3823.15,14.009999999999993,535.9297894736842,152.71844136336716,955.9898127820784,4300.15,20.279999999999973,565.0198778947366,7.989407658659112,851.8321140609361,2260.0,0.0899,1207.9610526315785,1195.8885006832145,162.43335948190017,1313.9,899.5,0.1443429371427912
ABUWOJ_w_CO2_1_relaxed,6.969162995594714,4.649151548489795,6.844652609408056,30.0,1.0,11.162995594713657,7.472766335649394,5.911598829254424,16.0,1.0,1.894273127753304,1.77004807673597,0.7193442776017692,4.0,1.0,2.6276211453744494,2.574053818530068,0.5326110374955857,3.44,1.65,119.74933920704848,0.0,46.56463214204214,153.9,0.0,1699.9748458149777,287.22419678380203,1841.3387602955704,3823.15,14.009999999999993,1948.7538766519824,390.1542454953631,2050.432405526773,4300.15,20.279999999999973,1469.3740810572692,30.647010314354333,1901.777809279654,7140.0,0.0899,1187.5378854625549,1179.709125458232,133.5461726845833,1313.9,906.4,-0.3477569483333885
ACAJIY_w_CO2_1_relaxed,4.89405684754522,3.349650187357722,4.171595946511888,30.0,1.0,9.51421188630491,5.371216542677876,6.573903428787308,16.0,1.0,1.6589147286821706,1.5620177554834906,0.5637103554324913,4.0,1.0,2.592739018087855,2.563459482645428,0.3869702652039397,3.44,1.65,66.61007751937984,0.0,56.79347031601985,153.9,0.0,938.6797674418603,98.09283829500096,1601.510544411974,3823.15,14.009999999999993,1066.2408527131786,126.23282526479235,1798.6735639888343,4300.15,20.279999999999973,642.6251875968993,3.134228616687684,1256.3545462194156,7140.0,0.0899,1286.296899224806,1279.216255786495,129.92708923668297,1402.3,906.4,-0.3028537028570618
ACAJIZ_w_CO2_1_relaxed,5.0638297872340425,3.1909277809668133,5.287497317816928,29.0,1.0,8.91063829787234,4.828001878253091,6.637457666413164,16.0,1.0,1.6595744680851063,1.5427795361385093,0.6548215850781735,4.0,1.0,2.5303404255319144,2.496933954118525,0.4322202588907229,3.44,1.9,112.69404255319148,99.85303400407138,42.31468794133613,153.9,7.0,1509.9437021276594,175.6385376141793,1821.834545370179,3823.15,14.009999999999993,1749.058765957447,237.01543833008603,2054.036155805942,4300.15,20.279999999999973,1161.2222314893622,10.07318494580944,1821.790761583133,8960.0,0.0899,1210.6617021276595,1201.2484971607198,142.09803052102384,1402.3,745.5,-0.460790441666821
ACAJOF_w_CO2_1_relaxed,4.947368421052632,3.104822796137896,5.209115254893086,29.0,1.0,8.736842105263158,4.66776236400434,6.65819477328779,16.0,1.0,1.6437246963562753,1.5276732820368264,0.6509033687598831,4.0,1.0,2.51995951417004,2.487563005829894,0.4256421659347512,3.44,1.9,112.06923076923078,99.53117266325314,42.216081234440736,153.9,7.0,1498.9532388663963,170.10456832567382,1821.220461514004,3823.15,14.009999999999993,1734.379149797571,229.39233178419448,2053.306420355364,4300.15,20.279999999999973,1141.4086785425106,9.437591572624706,1794.5764910845207,8960.0,0.0899,1211.9331983805666,1202.7275283530587,140.6823396139119,1402.3,745.5,-0.2487690350001608
ACIBOE_w_CO2_1_relaxed,7.693251533742331,5.707231574482946,6.674124825643025,30.0,1.0,12.60122699386503,9.80971625239482,4.95444260860601,16.0,1.0,2.0,1.9005017690359352,0.6646185307460536,4.0,1.0,2.727055214723926,2.6684240804682333,0.5556380652259358,3.44,1.65,126.3552147239264,0.0,44.81667655400758,153.9,0.0,1783.4371165644172,361.814449359826,1844.3779017110096,3823.15,14.009999999999993,2045.6010429447847,493.9569955760372,2049.923076193936,4300.15,20.279999999999973,1538.278058895706,48.21334745495132,1916.834222997308,7140.0,0.0899,1181.7785276073616,1173.9151949037769,133.8964327094288,1313.9,906.4,-0.1985048740001274
ACODON_w_CO2_1_relaxed,6.5027932960893855,4.135591516557806,9.332094139276167,65.0,1.0,10.88268156424581,6.92833755656882,6.231357139791188,19.0,1.0,1.832402234636872,1.704277586067432,0.7944361938760455,6.0,1.0,,,,,,124.6217877094972,117.7025819078228,37.50215375773636,153.9,50.0,1916.008100558659,330.69934507966866,1869.5446396790892,3823.15,14.009999999999993,2203.4790502793294,439.5724453828389,2101.1460219624423,4300.15,20.279999999999973,1323.1345307262573,33.710052238195026,1521.7048239815854,8219.0,0.0899,1179.377094972067,1168.3179441246389,146.91294416255684,1313.9,565.8,-0.2127581383333563
ACOGAB_w_CO2_1_relaxed,5.344632768361582,3.200844864977656,7.002815172869187,48.0,1.0,9.005649717514125,4.879718270390384,6.664262709349256,17.0,1.0,1.6723163841807909,1.5483764278811,0.7010659772238446,5.0,1.0,2.523898305084746,2.498038170802836,0.3723069792970384,3.44,1.69,102.3813559322034,0.0,62.312771698950414,324.6,0.0,1434.050903954802,162.31098864640674,1821.402275616414,3823.15,14.009999999999993,1622.248305084746,210.68656993071684,2043.2949595359264,4300.15,20.279999999999973,998.4790214689268,8.944205682030391,1394.3280492805138,8650.0,0.0899,1232.6322033898302,1225.7522934030692,127.98160810752904,1402.3,867.8,-0.2254596742856977
ACOGEF_w_CO2_1_relaxed,5.751412429378531,3.2310011974576653,8.96227566027139,53.0,1.0,9.005649717514125,4.879718270390384,6.664262709349256,17.0,1.0,1.694915254237288,1.5562042888800678,0.7866306024320199,5.0,1.0,2.5171186440677964,2.492012721361192,0.3669975177218241,3.44,1.69,101.71694915254238,0.0,60.05569492052561,295.2,0.0,1436.7853672316382,163.69273807311916,1819.7364747248637,3823.15,14.009999999999993,1625.079943502825,212.2160894784162,2041.5912651495703,4300.15,20.279999999999973,1039.6089649717517,9.037574439582398,1480.4835729946751,8650.0,0.0899,1229.660451977401,1222.3615714809628,131.5765941604705,1402.3,867.8,-0.36283375428567
ACOLIP_w_CO2_1_relaxed,4.933333333333334,3.3738295193950067,4.399711390245991,30.0,1.0,9.542857142857144,5.475708845479165,6.469015633410242,16.0,1.0,1.6761904761904762,1.5769564922311472,0.5772717127882567,4.0,1.0,2.537619047619048,2.5083447162677897,0.3973831635648486,3.44,1.65,106.39904761904762,0.0,51.4410295668982,153.9,0.0,1667.985619047619,219.46470440638964,1868.6634946613196,3823.15,14.009999999999993,1888.702761904762,285.00090743773217,2094.19760986193,4300.15,20.279999999999973,1104.859201904762,14.330688177051163,1392.586772517436,7140.0,0.0899,1216.4123809523808,1209.4437510968833,128.7107023301911,1402.3,906.4,-0.411605002857105
ACUBAB_w_CO2_1_relaxed,13.580246913580249,11.57348079712909,8.589203957899224,30.0,6.0,15.061728395061728,14.970023077214751,1.5818857243016249,17.0,12.0,2.567901234567901,2.4599610862159795,0.8002819195378693,4.0,2.0,2.8833333333333337,2.766698527895634,0.7524806711762285,3.44,1.65,108.07283950617284,0.0,68.11123620134549,349.0,0.0,269.1361728395062,127.25088220294153,469.3583016153325,3823.15,54.849999999999966,429.8403703703704,210.79604208684867,608.6770951369102,4300.15,90.24999999999996,1709.307135802469,24.770293276139565,2775.5570436716885,7140.0,1.429,1184.295061728395,1170.4656760672638,173.9537904449955,1313.9,906.4,-0.2929165666666525
ACUTOI_w_CO2_1_relaxed,6.876494023904383,4.332027645581777,8.219879535652671,48.0,1.0,10.350597609561753,6.235889096102017,6.462008929413437,16.0,1.0,1.8725099601593624,1.73215618762154,0.7881601924384535,5.0,1.0,2.5927888446215137,2.5184346524880032,0.5755380223533126,3.44,0.93,116.31513944223109,0.0,48.4637607440719,200.0,0.0,1417.459641434263,204.73271348422412,1787.4188015715358,3823.15,14.009999999999993,1646.7739043824702,288.5149555280668,1985.0720122550067,4300.15,20.279999999999973,1170.7703697211157,17.934738448198882,1725.5278141947,8650.0,0.0899,1185.2298804780874,1166.8165005640642,181.2538952008583,1402.3,495.8,-0.357560448333326
ADABUE_w_CO2_1_relaxed,5.917525773195877,4.059105839542363,5.444509393691551,29.0,1.0,10.536082474226804,6.654639064748742,6.146093983249033,16.0,1.0,1.7938144329896908,1.6847999744381337,0.6411674971326272,4.0,1.0,2.614948453608248,2.5816970417132423,0.4239459304936712,3.44,1.9,97.40721649484536,64.2757732224256,56.79498534460007,153.9,7.0,1458.1763917525773,200.96073579420607,1795.8052442990386,3823.15,14.009999999999993,1699.6225773195874,264.0586225669369,2029.0533338660025,4300.15,20.279999999999973,1185.3796618556703,12.801337055224876,1936.0799285410235,8960.0,0.0899,1226.087628865979,1214.1789072997713,160.88078781567472,1402.3,745.5,-0.1633518114286321
