MOF,atomic_num_mean,atomic_num_geometric_mean,atomic_num_standard_deviation,atomic_num_max,atomic_num_min,group_num_mean,group_num_geometric_mean,group_num_standard_deviation,group_num_max,group_num_min,period_num_mean,period_num_geometric_mean,period_num_standard_deviation,period_num_max,period_num_min,electronegativity_mean,electronegativity_geometric_mean,electronegativity_standard_deviation,electronegativity_max,electronegativity_min,electron_affinity_mean,electron_affinity_geometric_mean,electron_affinity_standard_deviation,electron_affinity_max,electron_affinity_min,melting_mean,melting_geometric_mean,melting_standard_deviation,melting_max,melting_min,boiling_mean,boiling_geometric_mean,boiling_standard_deviation,boiling_max,boiling_min,density_mean,density_geometric_mean,density_standard_deviation,density_max,density_min,ionization_energy_mean,ionization_energy_geometric_mean,ionization_energy_standard_deviation,ionization_energy_max,ionization_energy_geometric_min
WAWRES01_FSR,4.84,2.833719845290757,5.689850613153213,29.0,1.0,7.96,3.991657371412207,6.749696289463697,16.0,1.0,1.6,1.4742692172911012,0.6928203230275509,4.0,1.0,2.502,2.468091072721407,0.4331927977240618,3.44,1.9,100.252,82.16712292193091,45.55986057924234,153.9,7.0,1143.1436,107.48734382811212,1691.2571668268076,3823.15,14.009999999999993,1344.2012,147.43685203001638,1921.941973062288,4300.15,20.279999999999973,991.514712,4.182459917558027,1912.665927445753,8960.0,0.0899,1233.652,1223.402105391269,146.93301635779483,1402.3,745.5
TUNJOD_FSR,6.160493827160494,3.696833925682255,7.475815806877331,35.0,1.0,9.790123456790123,5.722078296754503,6.461120281607547,17.0,1.0,1.7777777777777777,1.6426776285599285,0.7370277311900888,4.0,1.0,2.5333333333333337,2.511303024223777,0.3445877837949869,3.44,1.88,118.03580246913582,89.47404600730796,68.31019537563392,324.6,7.0,1747.913950617284,258.1943754904317,1866.4684663147557,3823.15,14.009999999999993,1986.1959259259256,329.2888616118625,2099.14078005933,4300.15,20.279999999999973,1268.6202617283952,23.314272251473582,1455.7677286775345,8900.0,0.0899,1205.4814814814813,1198.0579389663285,131.44733641142017,1402.3,760.4
OPEPAB_FSR,4.982300884955753,3.3230082036097555,4.774531067897434,30.0,1.0,9.31858407079646,5.295894232882452,6.452365261217861,16.0,1.0,1.6814159292035398,1.5744710783068374,0.6134984075198944,4.0,1.0,2.5012389380530977,2.4737142281701017,0.3870769348954749,3.44,1.65,116.26460176991152,0.0,43.80665468570863,153.9,0.0,1867.0471681415927,271.40727679313744,1880.324775585921,3823.15,14.009999999999993,2122.6374336283184,353.70469234973945,2108.87605771784,4300.15,20.279999999999973,1285.340051327434,21.643254752204317,1546.598996717551,8900.0,0.0899,1193.978761061947,1186.951790954764,126.96497423167888,1402.3,760.4
UNIRUF03_FSR,5.125,3.9159461822030366,2.8476964374736293,8.0,1.0,9.875,5.471129599469521,6.918047051010856,16.0,1.0,1.75,1.681792830507429,0.4330127018922193,2.0,1.0,2.6,2.4397953021841428,0.7957857751932991,3.44,0.98,117.0,109.6997024261443,38.16618267524276,153.9,59.6,1036.5700000000002,146.72394859065463,1614.480786104313,3823.15,14.009999999999993,1315.8449999999998,234.13007305087632,1794.6086899237948,4300.15,20.279999999999973,632.43335,9.465604212794505,955.3569754775724,2260.0,0.0899,1157.3625000000002,1115.5089321758735,259.1709182060171,1313.9,520.2
ITUTAS_FSR,7.4,6.724169585879001,3.0886890422961004,19.0,1.0,13.7,11.500180466680863,4.313930922024598,16.0,1.0,2.05,2.0,0.4974937185533099,4.0,1.0,2.9,2.7923636413925275,0.6309754353380169,3.44,0.82,110.03,72.81614383997692,57.82112157334896,153.9,7.0,1199.0220000000002,206.06639255792865,1718.999687555527,3823.15,14.009999999999993,1394.2385,292.3935555249622,1913.433614169237,4300.15,20.279999999999973,721.626295,15.205774932817455,1023.8034091490777,2260.0,0.0899,1218.51,1187.405500646829,219.17406073712283,1402.3,418.8
OKIHAR_FSR,6.454545454545454,4.1071114811216844,6.272068476603761,30.0,1.0,10.363636363636363,6.247032704474725,6.463502108310341,16.0,1.0,1.818181818181818,1.6863008311774172,0.7158188976374374,4.0,1.0,2.6277272727272734,2.581222038903375,0.4965419676319764,3.44,1.65,100.8181818181818,0.0,58.49102989786039,200.0,0.0,1114.8436363636365,141.3295269150399,1665.3083147151776,3823.15,14.009999999999993,1292.452727272727,194.6928188174393,1860.5924673808556,4300.15,20.279999999999973,1030.4590136363638,8.874182291508388,1680.1813455490678,7140.0,0.0899,1230.522727272727,1221.7527846415885,142.32410494047534,1402.3,906.4
OBIVIG_FSR,5.5625,3.11359405289752,8.169828257068811,48.0,1.0,8.6875,4.521584707036539,6.834825802461976,16.0,1.0,1.65625,1.5197249650443057,0.7749747979773278,5.0,1.0,2.5646875000000007,2.519691367465385,0.4997623458642616,3.44,1.69,110.7875,0.0,42.37223995436163,153.9,0.0,1231.4315625,122.51918310642856,1750.143797952952,3823.15,14.009999999999993,1404.9162499999998,169.56811075511027,1959.721888417381,4300.15,20.279999999999973,976.9144250000002,5.58951087907377,1726.2580286444052,8650.0,0.0899,1228.065625,1221.4240399333237,122.52577180274923,1313.9,867.8
SCFORM01_FSR,6.923076923076923,4.989916809164593,4.90622114433907,21.0,1.0,11.076923076923077,7.1935025921606,6.450540090226656,16.0,1.0,1.9230769230769231,1.7977019463910833,0.7297563831157798,4.0,1.0,2.7884615384615383,2.696200377694274,0.6677729479839473,3.44,1.36,118.7846153846154,105.47797617771536,42.19146552697132,153.9,18.1,1050.3638461538462,139.52092238173788,1588.825721292003,3823.15,14.009999999999993,1277.38,204.75833635953103,1838.5073076359445,4300.15,20.279999999999973,751.8341307692306,7.437752114048973,1139.660138071812,2985.0,0.0899,1208.6153846153843,1188.446840739025,191.05550883348357,1313.9,633.1
EMOVEI_FSR,7.523809523809524,4.312010574634712,10.591786489685482,47.0,1.0,10.444444444444445,6.64048820816083,6.070427347676726,16.0,1.0,1.9047619047619049,1.7389514528835062,0.920908552657796,5.0,1.0,2.568888888888889,2.534895412299289,0.4329562869210698,3.44,1.93,117.7619047619048,99.56371520698006,44.92213167061644,153.9,7.0,1793.427777777778,301.1308781238877,1837.769109870732,3823.15,14.009999999999993,2089.389365079365,400.4999836097947,2056.9320299631886,4300.15,20.279999999999973,1670.785447619048,29.88126097860652,2542.674544989255,10490.0,0.0899,1180.8936507936503,1167.6942339151333,165.41437805591178,1402.3,731.0
boydwoo_str_m5_Al_o6_o23_sra_sym_114,5.551724137931035,4.264633344989619,2.992360467136176,13.0,1.0,11.275862068965518,7.492976530612359,6.006585763368334,17.0,1.0,1.7844827586206895,1.7054720607200082,0.4878883860976216,3.0,1.0,2.687068965517242,2.6341946754894576,0.5469319084540019,3.98,1.61,127.7,103.78705170685063,65.4561066406468,328.0,7.0,1699.6320689655167,269.80639313294245,1855.3865028397336,3823.15,14.009999999999993,1979.490689655172,365.3111404527108,2079.200225967918,4300.15,20.279999999999973,1067.6734491379311,22.231293480979836,1145.864319108097,2700.0,0.0899,1214.3370689655171,1196.0830454246482,196.26198075890565,1681.0,577.5
