MOF,H fraction,He fraction,Li fraction,Be fraction,B fraction,C fraction,N fraction,O fraction,F fraction,Ne fraction,Na fraction,Mg fraction,Al fraction,Si fraction,P fraction,S fraction,Cl fraction,Ar fraction,K fraction,Ca fraction,Sc fraction,Ti fraction,V fraction,Cr fraction,Mn fraction,Fe fraction,Co fraction,Ni fraction,Cu fraction,Zn fraction,Ga fraction,Ge fraction,As fraction,Se fraction,Br fraction,Kr fraction,Rb fraction,Sr fraction,Y fraction,Zr fraction,Nb fraction,Mo fraction,Tc fraction,Ru fraction,Rh fraction,Pd fraction,Ag fraction,Cd fraction,In fraction,Sn fraction,Sb fraction,Te fraction,I fraction,Xe fraction,Cs fraction,Ba fraction,La fraction,Ce fraction,Pr fraction,Nd fraction,Pm fraction,Sm fraction,Eu fraction,Gd fraction,Tb fraction,Dy fraction,Ho fraction,Er fraction,Tm fraction,Yb fraction,Lu fraction,Hf fraction,Ta fraction,W fraction,Re fraction,Os fraction,Ir fraction,Pt fraction,Au fraction,Hg fraction,Tl fraction,Pb fraction,Bi fraction,Po fraction,At fraction,Rn fraction,Fr fraction,Ra fraction,Ac fraction,Th fraction,Pa fraction,U fraction,Np fraction,Pu fraction,Am fraction,Cm fraction,Bk fraction,Cf fraction,Es fraction,Fm fraction,Md fraction,No fraction,Lr fraction,Rf fraction,Db fraction,Sg fraction,Bh fraction,Hs fraction,Mt fraction,Ds fraction,Rg fraction,Cn fraction,Nh fraction,Fl fraction,Mc fraction,Lv fraction,Ts fraction,Og fraction,mean AtomicWeight,mean Column,mean Row,range Number,mean Number,range AtomicRadius,mean AtomicRadius,range Electronegativity,mean Electronegativity,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,energy
ABEFUL_w_CO2_1_relaxed,0.2651933701657458,0,0.0,0.0,0.0,0.4917127071823204,0.0441988950276243,0.143646408839779,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0441988950276243,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.011049723756906,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26376861878453,10.850828729281767,1.8232044198895028,64.0,6.099447513812155,1.5,0.5889502762430939,2.23,2.593204419889503,1.7348066298342542,1.867403314917127,0.0,0.0994475138121546,0.4686567164179104,0.5044776119402985,0.0,0.026865671641791,-0.3036845850000134
ABESUX_w_CO2_random_1_relaxed,0.0,0,0.0,0.0,0.0,0.0097087378640776,0.0,0.6407766990291263,0.0,0,0.0,0.0,0.0,0.0,0.1553398058252427,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.1941747572815534,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.39931545631068,13.300970873786408,3.1262135922330097,86.0,25.37864077669903,1.15,0.8864077669902912,2.06,2.837184466019418,2.0,3.0485436893203883,0.1941747572815534,0.5825242718446602,0.3433333333333333,0.5233333333333333,0.0333333333333333,0.0999999999999999,-0.5914658000000372
ABEXEM_w_CO2_1_relaxed,0.1088435374149659,0,0.0,0.0,0.0,0.3877551020408163,0.1088435374149659,0.3401360544217687,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0544217687074829,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29291088435374,12.775510204081632,2.108843537414966,56.0,9.020408163265309,1.7,0.6795918367346939,2.34,2.789047619047619,1.891156462585034,2.462585034013605,0.0544217687074829,0.0,0.4290123456790124,0.558641975308642,0.0123456790123456,0.0,-0.46665692374998
ABEXIQ_w_CO2_1_relaxed,0.1088435374149659,0,0.0,0.0,0.0,0.3877551020408163,0.1088435374149659,0.3401360544217687,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0544217687074829,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.35879006802721,12.775510204081632,2.108843537414966,57.0,9.07482993197279,1.6,0.6741496598639456,2.32,2.7901360544217684,1.891156462585034,2.462585034013605,0.0544217687074829,0.0544217687074829,0.4237804878048781,0.551829268292683,0.0121951219512195,0.0121951219512195,0.526259147500042
ABEXOW_w_CO2_1_relaxed,0.1088435374149659,0,0.0,0.0,0.0,0.3877551020408163,0.1088435374149659,0.3401360544217687,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0544217687074829,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.40187306122449,12.775510204081632,2.108843537414966,58.0,9.129251700680271,1.6,0.6741496598639456,2.31,2.7906802721088435,1.891156462585034,2.462585034013605,0.0,0.1632653061224489,0.4186746987951807,0.5451807228915663,0.0,0.036144578313253,-0.3031877512497942
ABEYAJ_w_CO2_1_relaxed,0.1088435374149659,0,0.0,0.0,0.0,0.3877551020408163,0.1088435374149659,0.3401360544217687,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0544217687074829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.91628666666667,12.775510204081632,2.108843537414966,61.0,9.29251700680272,1.6,0.6741496598639456,2.27,2.792857142857143,1.891156462585034,2.462585034013605,0.0,0.3265306122448979,0.4040697674418605,0.5261627906976745,0.0,0.0697674418604651,-0.3962696950000292
ABEYIR_w_CO2_1_relaxed,0.1088435374149659,0,0.0,0.0,0.0,0.3877551020408163,0.1088435374149659,0.3401360544217687,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0544217687074829,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.29125265306123,12.775510204081632,2.108843537414966,63.0,9.401360544217686,1.55,0.6714285714285715,2.24,2.794489795918368,1.891156462585034,2.462585034013605,0.0544217687074829,0.3809523809523809,0.3948863636363636,0.5142045454545455,0.0113636363636363,0.0795454545454545,-0.3939730137500703
ABIXOZ_w_CO2_1_relaxed,0.0,0,0.0,0.0,0.0,0.0128205128205128,0.0,0.6923076923076923,0.0,0,0.0,0.0,0.0,0.0,0.1025641025641025,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.1538461538461538,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.43702539743589,14.064102564102564,2.641025641025641,36.0,14.653846153846152,0.85,0.8019230769230768,1.56,3.043461538461538,1.8461538461538465,3.102564102564102,1.0384615384615383,0.0,0.3083511777301927,0.5182012847965739,0.1734475374732334,0.0,3.443304410000087
ABULOB_w_CO2_1_relaxed,0.1684210526315789,0,0.0,0.1263157894736842,0.0,0.0105263157894736,0.0,0.5263157894736842,0.0,0,0.0,0.0,0.0,0.0,0.1684210526315789,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.071938063157894,11.51578947368421,2.0,14.0,7.473684210526316,0.8,0.6663157894736843,1.87,2.7750526315789474,1.831578947368421,2.631578947368421,0.0,0.0,0.410377358490566,0.589622641509434,0.0,0.0,0.1443429371427912
ABUWOJ_w_CO2_1_relaxed,0.2466960352422907,0,0.0,0.0,0.0,0.4273127753303964,0.0,0.2555066079295154,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704845814977973,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.077214713656389,11.162995594713657,1.894273127753304,29.0,6.969162995594714,1.1,0.609251101321586,1.79,2.6276211453744494,1.753303964757709,1.8766519823788543,0.7048458149779736,0.0,0.4044715447154471,0.4329268292682927,0.1626016260162602,0.0,-0.3477569483333885
