MOF,H fraction,He fraction,Li fraction,Be fraction,B fraction,C fraction,N fraction,O fraction,F fraction,Ne fraction,Na fraction,Mg fraction,Al fraction,Si fraction,P fraction,S fraction,Cl fraction,Ar fraction,K fraction,Ca fraction,Sc fraction,Ti fraction,V fraction,Cr fraction,Mn fraction,Fe fraction,Co fraction,Ni fraction,Cu fraction,Zn fraction,Ga fraction,Ge fraction,As fraction,Se fraction,Br fraction,Kr fraction,Rb fraction,Sr fraction,Y fraction,Zr fraction,Nb fraction,Mo fraction,Tc fraction,Ru fraction,Rh fraction,Pd fraction,Ag fraction,Cd fraction,In fraction,Sn fraction,Sb fraction,Te fraction,I fraction,Xe fraction,Cs fraction,Ba fraction,La fraction,Ce fraction,Pr fraction,Nd fraction,Pm fraction,Sm fraction,Eu fraction,Gd fraction,Tb fraction,Dy fraction,Ho fraction,Er fraction,Tm fraction,Yb fraction,Lu fraction,Hf fraction,Ta fraction,W fraction,Re fraction,Os fraction,Ir fraction,Pt fraction,Au fraction,Hg fraction,Tl fraction,Pb fraction,Bi fraction,Po fraction,At fraction,Rn fraction,Fr fraction,Ra fraction,Ac fraction,Th fraction,Pa fraction,U fraction,Np fraction,Pu fraction,Am fraction,Cm fraction,Bk fraction,Cf fraction,Es fraction,Fm fraction,Md fraction,No fraction,Lr fraction,Rf fraction,Db fraction,Sg fraction,Bh fraction,Hs fraction,Mt fraction,Ds fraction,Rg fraction,Cn fraction,Nh fraction,Fl fraction,Mc fraction,Lv fraction,Ts fraction,Og fraction,mean AtomicWeight,mean Column,mean Row,range Number,mean Number,range AtomicRadius,mean AtomicRadius,range Electronegativity,mean Electronegativity,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons
ABEFUL_w_CO2_1_relaxed,0.26519337016574585,0,0,0,0,0.49171270718232046,0.04419889502762431,0.143646408839779,0,0,0,0,0,0,0,0.04419889502762431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011049723756906077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26376861878453,10.850828729281767,1.8232044198895028,64.0,6.099447513812155,1.5,0.5889502762430939,2.23,2.593204419889503,1.7348066298342542,1.867403314917127,0.0,0.09944751381215469,0.46865671641791046,0.5044776119402985,0.0,0.026865671641791045
ABESUX_w_CO2_random_1_relaxed,0,0,0,0,0,0.009708737864077669,0,0.6407766990291263,0,0,0,0,0,0,0.1553398058252427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1941747572815534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.39931545631068,13.300970873786408,3.1262135922330097,86.0,25.37864077669903,1.15,0.8864077669902912,2.06,2.837184466019418,2.0,3.0485436893203883,0.1941747572815534,0.5825242718446602,0.3433333333333333,0.5233333333333333,0.03333333333333333,0.09999999999999999
ABEXEM_w_CO2_1_relaxed,0.10884353741496598,0,0,0,0,0.3877551020408163,0.10884353741496598,0.3401360544217687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05442176870748299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29291088435374,12.775510204081632,2.108843537414966,56.0,9.020408163265307,1.7,0.6795918367346939,2.34,2.789047619047619,1.8911564625850341,2.4625850340136055,0.05442176870748299,0.0,0.4290123456790124,0.558641975308642,0.01234567901234568,0.0
ABEXIQ_w_CO2_1_relaxed,0.10884353741496598,0,0,0,0,0.3877551020408163,0.10884353741496598,0.3401360544217687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05442176870748299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.35879006802721,12.775510204081632,2.108843537414966,57.0,9.07482993197279,1.6,0.6741496598639456,2.32,2.7901360544217684,1.8911564625850341,2.4625850340136055,0.05442176870748299,0.05442176870748299,0.4237804878048781,0.551829268292683,0.012195121951219513,0.012195121951219513
ABEXOW_w_CO2_1_relaxed,0.10884353741496598,0,0,0,0,0.3877551020408163,0.10884353741496598,0.3401360544217687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05442176870748299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.401873061224492,12.775510204081632,2.108843537414966,58.0,9.129251700680273,1.6,0.6741496598639456,2.31,2.7906802721088435,1.8911564625850341,2.4625850340136055,0.0,0.16326530612244897,0.41867469879518077,0.5451807228915663,0.0,0.03614457831325301
ABEYAJ_w_CO2_1_relaxed,0.10884353741496598,0,0,0,0,0.3877551020408163,0.10884353741496598,0.3401360544217687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05442176870748299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.91628666666667,12.775510204081632,2.108843537414966,61.0,9.29251700680272,1.6,0.6741496598639456,2.27,2.792857142857143,1.8911564625850341,2.4625850340136055,0.0,0.32653061224489793,0.4040697674418605,0.5261627906976745,0.0,0.06976744186046512
ABEYIR_w_CO2_1_relaxed,0.10884353741496598,0,0,0,0,0.3877551020408163,0.10884353741496598,0.3401360544217687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05442176870748299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.29125265306123,12.775510204081632,2.108843537414966,63.0,9.401360544217686,1.55,0.6714285714285715,2.24,2.7944897959183677,1.8911564625850341,2.4625850340136055,0.05442176870748299,0.38095238095238093,0.39488636363636365,0.5142045454545455,0.011363636363636364,0.07954545454545454
ABIXOZ_w_CO2_1_relaxed,0,0,0,0,0,0.01282051282051282,0,0.6923076923076923,0,0,0,0,0,0,0.10256410256410256,0,0,0,0,0,0,0,0,0,0,0,0.038461538461538464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.437025397435892,14.064102564102564,2.641025641025641,36.0,14.653846153846153,0.85,0.8019230769230768,1.56,3.043461538461538,1.8461538461538463,3.1025641025641026,1.0384615384615385,0.0,0.3083511777301927,0.5182012847965739,0.1734475374732334,0.0
ABULOB_w_CO2_1_relaxed,0.16842105263157894,0,0,0.12631578947368421,0,0.010526315789473684,0,0.5263157894736842,0,0,0,0,0,0,0.16842105263157894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.071938063157894,11.51578947368421,2.0,14.0,7.473684210526316,0.8,0.6663157894736843,1.8699999999999999,2.7750526315789474,1.831578947368421,2.6315789473684212,0.0,0.0,0.41037735849056606,0.589622641509434,0.0,0.0
ABUWOJ_w_CO2_1_relaxed,0.24669603524229075,0,0,0,0,0.42731277533039647,0,0.2555066079295154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07048458149779736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.077214713656387,11.162995594713657,1.894273127753304,29.0,6.969162995594714,1.1,0.609251101321586,1.79,2.6276211453744494,1.7533039647577093,1.8766519823788546,0.7048458149779736,0.0,0.40447154471544716,0.4329268292682927,0.1626016260162602,0.0
