MOF,atomic_num_mean,atomic_num_geometric_mean,atomic_num_standard_deviation,atomic_num_max,atomic_num_min,group_num_mean,group_num_geometric_mean,group_num_standard_deviation,group_num_max,group_num_min,period_num_mean,period_num_geometric_mean,period_num_standard_deviation,period_num_max,period_num_min,electronegativity_mean,electronegativity_geometric_mean,electronegativity_standard_deviation,electronegativity_max,electronegativity_min,electron_affinity_mean,electron_affinity_geometric_mean,electron_affinity_standard_deviation,electron_affinity_max,electron_affinity_min,melting_mean,melting_geometric_mean,melting_standard_deviation,melting_max,melting_min,boiling_mean,boiling_geometric_mean,boiling_standard_deviation,boiling_max,boiling_min,density_mean,density_geometric_mean,density_standard_deviation,density_max,density_min,ionization_energy_mean,ionization_energy_geometric_mean,ionization_energy_standard_deviation,ionization_energy_max,ionization_energy_geometric_min,energy
ABEFUL_w_H2O_1_relaxed,6.033149171270718,4.108366978361422,7.098284402863538,65.0,1.0,10.87292817679558,6.964356844588101,6.160862637841817,19.0,1.0,1.8121546961325967,1.701874908896554,0.6796702957138384,6.0,1.0,,,,,,124.11160220994476,107.76848208121494,46.038635326612265,200.0,7.0,1908.1686740331493,337.3803419051019,1871.3322379389565,3823.15,14.009999999999993,2182.60546961326,443.18306093285526,2094.36318786536,4300.15,20.279999999999973,1276.509546961326,35.99099066153196,1330.4141280330025,8219.0,0.0899,1184.5651933701656,1175.4960004983752,138.96123929379584,1402.3,565.8,-0.4969990399999157
ABESUX_w_H2O_1_relaxed,25.262135922330096,13.612032250437512,32.87368031683946,92.0,1.0,16.135922330097088,15.51947409589676,2.5006738652561538,19.0,1.0,3.1067961165048543,2.680297587597869,1.9504175373703976,7.0,1.0,2.821747572815534,2.6625595928129706,0.8451855971099308,3.44,1.38,,,,,,357.61038834951466,131.7577685005309,524.1069776812918,1408.15,14.009999999999993,958.9146601941746,244.9515812222118,1599.6043828226009,4200.15,20.279999999999973,3983.117133980581,26.00746745084353,7424.11808376835,19050.0,0.0899,1127.8475728155336,1082.646909420874,281.4069108682302,1313.9,597.6,1.807776578000039
ABEXEM_w_H2O_1_relaxed,8.938775510204081,6.095507116614604,11.722543250904735,57.0,1.0,13.45578231292517,10.854141957951231,4.816682026927947,19.0,1.0,2.095238095238096,1.9504506324982975,0.9920317455237934,6.0,1.0,2.7782312925170074,2.6944175825463463,0.6062168856854501,3.44,1.1,117.91700680272108,91.4399121163199,50.25134563352056,153.9,7.0,1548.17843537415,280.63454014359417,1802.811635083219,3823.15,14.009999999999993,1882.5214285714287,394.4808185555512,2064.9215495628346,4300.15,20.279999999999973,1196.0520761904763,26.18723736496346,1603.4036705301978,6146.0,0.0899,1194.4401360544214,1172.2575405419657,197.57094193372703,1402.3,538.1,-0.6293549899999107
ABEXIQ_w_H2O_1_relaxed,8.993197278911564,6.101279180651556,11.945737063701618,58.0,1.0,13.45578231292517,10.854141957951231,4.816682026927947,19.0,1.0,2.095238095238096,1.9504506324982975,0.9920317455237934,6.0,1.0,2.7793197278911568,2.6970610214336634,0.6032132325277062,3.44,1.12,118.02585034013605,91.64328131482492,50.10173200047071,153.9,7.0,1541.5934013605445,279.0047295853868,1804.320408560413,3823.15,14.009999999999993,1876.8615646258504,393.8753772422519,2059.966918877995,4300.15,20.279999999999973,1225.6030965986397,26.308173611078416,1696.6520845995096,6689.0,0.0899,1194.2387755102038,1171.817441631834,198.2405195677731,1402.3,534.4,0.394688872000188
ABEXOW_w_H2O_3_relaxed,9.047619047619047,6.106957898478281,12.16906602005485,59.0,1.0,13.45578231292517,10.854141957951231,4.816682026927947,19.0,1.0,2.095238095238096,1.9504506324982975,0.9920317455237934,6.0,1.0,2.779863945578231,2.698366046374182,0.6017186116546864,3.44,1.13,118.02585034013605,91.64328131482492,50.10173200047071,153.9,7.0,1548.8314965986397,280.78754521403124,1802.6847159459812,3823.15,14.009999999999993,1873.0520408163268,393.4585711409976,2056.7777264072106,4300.15,20.279999999999973,1222.936429931973,26.297648978799185,1688.079895891565,6640.0,0.0899,1193.8360544217685,1170.928532219379,199.58352519687253,1402.3,527.0,-0.5674577799996428
ABEYAJ_w_H2O_1_relaxed,9.210884353741497,6.123463779724829,12.839793210722236,62.0,1.0,13.45578231292517,10.854141957951231,4.816682026927947,19.0,1.0,2.095238095238096,1.9504506324982975,0.9920317455237934,6.0,1.0,2.7820408163265307,2.7034792208073477,0.5957890084180091,3.44,1.17,118.02585034013605,91.64328131482492,50.10173200047071,153.9,7.0,1556.5049659863948,282.4847385881097,1801.5008899057257,3823.15,14.009999999999993,1792.1268707482996,382.061259911232,2017.56747868028,4300.15,20.279999999999973,1261.739151020408,26.444028543221368,1815.5351931430052,7353.0,0.0899,1194.7884353741497,1173.0120808168354,196.41583249324512,1402.3,544.5,-0.5796086783332157
ABEYIR_w_H2O_1_relaxed,9.319727891156464,6.134053170498245,13.28749931406188,64.0,1.0,13.45578231292517,10.854141957951231,4.816682026927947,19.0,1.0,2.095238095238096,1.9504506324982975,0.9920317455237934,6.0,1.0,2.783673469387756,2.707206749699669,0.5913941577664968,3.44,1.2,118.02585034013605,91.64328131482492,50.10173200047071,153.9,7.0,1569.6206122448982,285.0297214429425,1800.7915462276394,3823.15,14.009999999999993,1870.8751700680275,393.2169063836448,2055.0082000542666,4300.15,20.279999999999973,1291.5622802721089,26.547677217853018,1917.0139833976864,7901.0,0.0899,1197.4496598639455,1178.515013088043,187.72614095134156,1402.3,593.4,-0.4976270300000124
ABIXOZ_w_H2O_2_relaxed,14.5,10.940720544714754,12.480497606779169,42.0,1.0,13.705128205128204,12.451625415802994,4.227835035349362,16.0,1.0,2.6153846153846154,2.4219854864066126,1.1348869731451656,5.0,1.0,3.0230769230769234,2.9531190321590626,0.6095233692587871,3.44,1.88,118.46794871794869,112.98662060943144,32.841107345667844,141.0,63.7,583.7451282051285,133.41496925703262,1040.3257647052674,2896.15,14.009999999999993,997.42641025641,221.96041335562356,1774.315297206925,4912.15,20.279999999999973,2111.7938051282053,15.208441837306632,3896.913703808969,10280.0,0.0899,1164.7166666666662,1132.8856011206065,244.687690749399,1313.9,684.3,2.283969556666724
ABULOB_w_H2O_1_relaxed,7.347368421052631,5.4945549373178055,4.374010374816545,15.0,1.0,11.221052631578948,7.197402352650047,6.6872682604112414,16.0,1.0,1.9789473684210528,1.87780377819328,0.597872497733176,3.0,1.0,2.7583157894736843,2.652860779190413,0.7290493487471115,3.44,1.57,98.4778947368421,0.0,49.088751372970776,141.0,0.0,281.4655789473684,86.8816247110952,496.7787861152472,1560.15,14.009999999999993,490.1419999999999,142.0946911311339,875.3147114526714,2743.15,20.279999999999973,541.2172547368418,6.975095320445447,835.574691027371,1848.0,0.0899,1210.3147368421048,1198.2466480258272,162.27600657257162,1313.9,899.5,0.0842807599999332
ABUWOJ_w_H2O_1_relaxed,6.916299559471366,4.57053831558575,6.866701139894276,30.0,1.0,11.039647577092513,7.296723459274692,5.9752216598724335,16.0,1.0,1.8854625550660795,1.7592712918615072,0.7241036580688666,4.0,1.0,2.620616740088105,2.567319641120189,0.5313216571269274,3.44,1.65,119.09162995594716,0.0,46.69181809566775,153.9,0.0,1683.014581497797,278.53427014287075,1839.430221345772,3823.15,14.009999999999993,1929.591585903084,378.5572025959823,2048.682344304799,4300.15,20.279999999999973,1459.4126308370048,28.954186586877626,1903.5318094141808,7140.0,0.0899,1188.522907488987,1180.6821059466358,133.62177967637354,1313.9,906.4,-0.4918754879999142
