file_path,energy
../../data/odac/pristine_CO2\ABEFUL\ABEFUL_w_CO2_1_relaxed.cif,-0.2694948100001966
../../data/odac/pristine_CO2\ABEFUL\ABEFUL_w_CO2_2_relaxed.cif,-0.23028232999990905
../../data/odac/pristine_CO2\ABEFUL\ABEFUL_w_CO2_3_relaxed.cif,-0.6263933300001554
../../data/odac/pristine_CO2\ABEFUL\ABEFUL_w_CO2_4_relaxed.cif,-0.3096351599999707
../../data/odac/pristine_CO2\ABEFUL\ABEFUL_w_CO2_5_relaxed.cif,-0.2541910200000075
../../data/odac/pristine_CO2\ABEFUL\ABEFUL_w_CO2_6_relaxed.cif,-0.23646217999998953
../../data/odac/pristine_CO2\ABEFUL\ABEFUL_w_CO2_random_1_relaxed.cif,-0.24014924999983123
../../data/odac/pristine_CO2\ABEFUL\ABEFUL_w_CO2_random_2_relaxed.cif,-0.2628686000000471
../../data/odac/pristine_CO2\ABESUX\ABESUX_w_CO2_random_1_relaxed.cif,-0.5914658000000372
../../data/odac/pristine_CO2\ABEXEM\ABEXEM_w_CO2_1_relaxed.cif,-0.4851237800000945
../../data/odac/pristine_CO2\ABEXEM\ABEXEM_w_CO2_2_relaxed.cif,-0.5012391299999308
../../data/odac/pristine_CO2\ABEXEM\ABEXEM_w_CO2_3_relaxed.cif,-0.48912472000006346
../../data/odac/pristine_CO2\ABEXEM\ABEXEM_w_CO2_4_relaxed.cif,-0.4984450699998888
../../data/odac/pristine_CO2\ABEXEM\ABEXEM_w_CO2_5_relaxed.cif,-0.49229470999989644
../../data/odac/pristine_CO2\ABEXEM\ABEXEM_w_CO2_6_relaxed.cif,-0.45709216000000197
../../data/odac/pristine_CO2\ABEXEM\ABEXEM_w_CO2_random_1_relaxed.cif,-0.47468684000000394
../../data/odac/pristine_CO2\ABEXEM\ABEXEM_w_CO2_random_2_relaxed.cif,-0.3352489799999603
../../data/odac/pristine_CO2\ABEXIQ\ABEXIQ_w_CO2_1_relaxed.cif,0.49513302000013937
../../data/odac/pristine_CO2\ABEXIQ\ABEXIQ_w_CO2_2_relaxed.cif,0.4600287200000821
../../data/odac/pristine_CO2\ABEXIQ\ABEXIQ_w_CO2_3_relaxed.cif,0.4484088100000463
../../data/odac/pristine_CO2\ABEXIQ\ABEXIQ_w_CO2_4_relaxed.cif,0.4661386699999639
../../data/odac/pristine_CO2\ABEXIQ\ABEXIQ_w_CO2_5_relaxed.cif,0.6716971400001057
../../data/odac/pristine_CO2\ABEXIQ\ABEXIQ_w_CO2_6_relaxed.cif,0.4143298099997992
../../data/odac/pristine_CO2\ABEXIQ\ABEXIQ_w_CO2_random_1_relaxed.cif,0.6067085100000895
../../data/odac/pristine_CO2\ABEXIQ\ABEXIQ_w_CO2_random_2_relaxed.cif,0.6476285000001099
../../data/odac/pristine_CO2\ABEXOW\ABEXOW_w_CO2_1_relaxed.cif,-0.03478323999979693
../../data/odac/pristine_CO2\ABEXOW\ABEXOW_w_CO2_2_relaxed.cif,-0.4746121799996672
../../data/odac/pristine_CO2\ABEXOW\ABEXOW_w_CO2_4_relaxed.cif,0.07653096000035475
../../data/odac/pristine_CO2\ABEXOW\ABEXOW_w_CO2_5_relaxed.cif,-0.31003174999978
../../data/odac/pristine_CO2\ABEXOW\ABEXOW_w_CO2_6_relaxed.cif,-0.470583029999716
../../data/odac/pristine_CO2\ABEXOW\ABEXOW_w_CO2_7_relaxed.cif,-0.4452238699998361
../../data/odac/pristine_CO2\ABEXOW\ABEXOW_w_CO2_random_1_relaxed.cif,-0.460737429999881
../../data/odac/pristine_CO2\ABEXOW\ABEXOW_w_CO2_random_2_relaxed.cif,-0.3060614700000315
../../data/odac/pristine_CO2\ABEYAJ\ABEYAJ_w_CO2_1_relaxed.cif,-0.42840427000010095
../../data/odac/pristine_CO2\ABEYAJ\ABEYAJ_w_CO2_2_relaxed.cif,-0.28035337999995136
../../data/odac/pristine_CO2\ABEYAJ\ABEYAJ_w_CO2_3_relaxed.cif,-0.40583272000026227
../../data/odac/pristine_CO2\ABEYAJ\ABEYAJ_w_CO2_4_relaxed.cif,-0.4122904099999687
../../data/odac/pristine_CO2\ABEYAJ\ABEYAJ_w_CO2_5_relaxed.cif,-0.39313121999998657
../../data/odac/pristine_CO2\ABEYAJ\ABEYAJ_w_CO2_6_relaxed.cif,-0.4085657699999956
../../data/odac/pristine_CO2\ABEYAJ\ABEYAJ_w_CO2_random_1_relaxed.cif,-0.3979905599999256
../../data/odac/pristine_CO2\ABEYAJ\ABEYAJ_w_CO2_random_2_relaxed.cif,-0.44358923000004324
../../data/odac/pristine_CO2\ABEYIR\ABEYIR_w_CO2_1_relaxed.cif,-0.39002980999998726
../../data/odac/pristine_CO2\ABEYIR\ABEYIR_w_CO2_2_relaxed.cif,-0.39113708000013503
../../data/odac/pristine_CO2\ABEYIR\ABEYIR_w_CO2_3_relaxed.cif,-0.3988136600000871
../../data/odac/pristine_CO2\ABEYIR\ABEYIR_w_CO2_4_relaxed.cif,-0.3917364500000531
../../data/odac/pristine_CO2\ABEYIR\ABEYIR_w_CO2_5_relaxed.cif,-0.4026674700000967
../../data/odac/pristine_CO2\ABEYIR\ABEYIR_w_CO2_6_relaxed.cif,-0.4001699800001006
../../data/odac/pristine_CO2\ABEYIR\ABEYIR_w_CO2_random_1_relaxed.cif,-0.37266532000012376
../../data/odac/pristine_CO2\ABEYIR\ABEYIR_w_CO2_random_2_relaxed.cif,-0.404564339999979
../../data/odac/pristine_CO2\ABIXOZ\ABIXOZ_w_CO2_1_relaxed.cif,3.3638959000001023
../../data/odac/pristine_CO2\ABIXOZ\ABIXOZ_w_CO2_2_relaxed.cif,3.461990040000046
../../data/odac/pristine_CO2\ABIXOZ\ABIXOZ_w_CO2_3_relaxed.cif,3.5414025100001254
../../data/odac/pristine_CO2\ABIXOZ\ABIXOZ_w_CO2_random_1_relaxed.cif,3.241679290000093
../../data/odac/pristine_CO2\ABIXOZ\ABIXOZ_w_CO2_random_2_relaxed.cif,3.6075543100000687
../../data/odac/pristine_CO2\ABULOB\ABULOB_w_CO2_1_relaxed.cif,0.22035705999985566
../../data/odac/pristine_CO2\ABULOB\ABULOB_w_CO2_2_relaxed.cif,0.29203562999998667
../../data/odac/pristine_CO2\ABULOB\ABULOB_w_CO2_3_relaxed.cif,-0.36908334000008836
../../data/odac/pristine_CO2\ABULOB\ABULOB_w_CO2_4_relaxed.cif,0.16917330999990554
../../data/odac/pristine_CO2\ABULOB\ABULOB_w_CO2_5_relaxed.cif,0.24069130999987465
../../data/odac/pristine_CO2\ABULOB\ABULOB_w_CO2_random_1_relaxed.cif,0.19059060999995836
../../data/odac/pristine_CO2\ABULOB\ABULOB_w_CO2_random_2_relaxed.cif,0.2666359800000464
../../data/odac/pristine_CO2\ABUWOJ\ABUWOJ_w_CO2_1_relaxed.cif,-0.42015757000012854
../../data/odac/pristine_CO2\ABUWOJ\ABUWOJ_w_CO2_2_relaxed.cif,-0.3859598399999413
../../data/odac/pristine_CO2\ABUWOJ\ABUWOJ_w_CO2_3_relaxed.cif,-0.3111694700000953
../../data/odac/pristine_CO2\ABUWOJ\ABUWOJ_w_CO2_4_relaxed.cif,-0.38384846999997535
../../data/odac/pristine_CO2\ABUWOJ\ABUWOJ_w_CO2_random_1_relaxed.cif,-0.359579930000109
../../data/odac/pristine_CO2\ABUWOJ\ABUWOJ_w_CO2_random_2_relaxed.cif,-0.22582641000008152
../../data/odac/pristine_CO2\ac403674p_si_001\ac403674p_si_001_w_CO2_1_relaxed.cif,-0.18319891999999527
../../data/odac/pristine_CO2\ac403674p_si_001\ac403674p_si_001_w_CO2_2_relaxed.cif,-0.06328329000007216
../../data/odac/pristine_CO2\ac403674p_si_001\ac403674p_si_001_w_CO2_3_relaxed.cif,-0.21618669000008595
../../data/odac/pristine_CO2\ac403674p_si_001\ac403674p_si_001_w_CO2_random_1_relaxed.cif,-0.05362858000012238
../../data/odac/pristine_CO2\ac403674p_si_001\ac403674p_si_001_w_CO2_random_2_relaxed.cif,-0.07545479999998861
../../data/odac/pristine_CO2\ACAJIY\ACAJIY_w_CO2_1_relaxed.cif,-0.28124122999952306
../../data/odac/pristine_CO2\ACAJIY\ACAJIY_w_CO2_2_relaxed.cif,-0.34071143000028314
../../data/odac/pristine_CO2\ACAJIY\ACAJIY_w_CO2_3_relaxed.cif,-0.3276675500001147
../../data/odac/pristine_CO2\ACAJIY\ACAJIY_w_CO2_4_relaxed.cif,-0.3131120899997768
../../data/odac/pristine_CO2\ACAJIY\ACAJIY_w_CO2_5_relaxed.cif,-0.1704173999996783
../../data/odac/pristine_CO2\ACAJIY\ACAJIY_w_CO2_random_1_relaxed.cif,-0.33893922000015664
../../data/odac/pristine_CO2\ACAJIY\ACAJIY_w_CO2_random_2_relaxed.cif,-0.3478869999999006
../../data/odac/pristine_CO2\ACAJIZ\ACAJIZ_w_CO2_1_relaxed.cif,-0.5094804699999713
../../data/odac/pristine_CO2\ACAJIZ\ACAJIZ_w_CO2_2_relaxed.cif,-0.5385351100001117
../../data/odac/pristine_CO2\ACAJIZ\ACAJIZ_w_CO2_3_relaxed.cif,-0.5348341100002472
../../data/odac/pristine_CO2\ACAJIZ\ACAJIZ_w_CO2_4_relaxed.cif,-0.452151300000196
../../data/odac/pristine_CO2\ACAJIZ\ACAJIZ_w_CO2_random_1_relaxed.cif,-0.2550806500003091
../../data/odac/pristine_CO2\ACAJIZ\ACAJIZ_w_CO2_random_2_relaxed.cif,-0.47466101000009076
../../data/odac/pristine_CO2\ACAJOF\ACAJOF_w_CO2_1_relaxed.cif,-0.14371618000018316
../../data/odac/pristine_CO2\ACAJOF\ACAJOF_w_CO2_2_relaxed.cif,-0.37809091000008266
../../data/odac/pristine_CO2\ACAJOF\ACAJOF_w_CO2_3_relaxed.cif,-0.18416237000042202
../../data/odac/pristine_CO2\ACAJOF\ACAJOF_w_CO2_4_relaxed.cif,-0.08302448000017648
../../data/odac/pristine_CO2\ACAJOF\ACAJOF_w_CO2_random_1_relaxed.cif,-0.37577561000011883
../../data/odac/pristine_CO2\ACAJOF\ACAJOF_w_CO2_random_2_relaxed.cif,-0.32784465999998247
../../data/odac/pristine_CO2\ACIBOE\ACIBOE_w_CO2_1_relaxed.cif,-0.3066812200002005
../../data/odac/pristine_CO2\ACIBOE\ACIBOE_w_CO2_2_relaxed.cif,-0.21244528000011087
../../data/odac/pristine_CO2\ACIBOE\ACIBOE_w_CO2_3_relaxed.cif,-0.13347179000015785
../../data/odac/pristine_CO2\ACIBOE\ACIBOE_w_CO2_random_1_relaxed.cif,-0.13490679000005912
../../data/odac/pristine_CO2\ACIBOE\ACIBOE_w_CO2_random_2_relaxed.cif,-0.20501929000010932
../../data/odac/pristine_CO2\ACODON\ACODON_w_CO2_1_relaxed.cif,-0.25679736000006415
../../data/odac/pristine_CO2\ACODON\ACODON_w_CO2_2_relaxed.cif,-0.2353331699998762
../../data/odac/pristine_CO2\ACODON\ACODON_w_CO2_3_relaxed.cif,-0.2193509900000663
../../data/odac/pristine_CO2\ACODON\ACODON_w_CO2_4_relaxed.cif,-0.14172110000004068
../../data/odac/pristine_CO2\ACODON\ACODON_w_CO2_random_1_relaxed.cif,-0.18298609000021315
../../data/odac/pristine_CO2\ACODON\ACODON_w_CO2_random_2_relaxed.cif,-0.2403601199998775
../../data/odac/pristine_CO2\ACOGAB\ACOGAB_w_CO2_1_relaxed.cif,-0.27798675999997613
../../data/odac/pristine_CO2\ACOGAB\ACOGAB_w_CO2_2_relaxed.cif,-0.21434156999998777
../../data/odac/pristine_CO2\ACOGAB\ACOGAB_w_CO2_3_relaxed.cif,-0.1024514900000213
../../data/odac/pristine_CO2\ACOGAB\ACOGAB_w_CO2_4_relaxed.cif,-0.25805511999988084
../../data/odac/pristine_CO2\ACOGAB\ACOGAB_w_CO2_5_relaxed.cif,-0.13512141000001066
../../data/odac/pristine_CO2\ACOGAB\ACOGAB_w_CO2_random_1_relaxed.cif,-0.29041557000005014
../../data/odac/pristine_CO2\ACOGAB\ACOGAB_w_CO2_random_2_relaxed.cif,-0.2998457999999573
../../data/odac/pristine_CO2\ACOGEF\ACOGEF_w_CO2_1_relaxed.cif,-0.3797437499999887
../../data/odac/pristine_CO2\ACOGEF\ACOGEF_w_CO2_2_relaxed.cif,-0.40319685000008576
../../data/odac/pristine_CO2\ACOGEF\ACOGEF_w_CO2_3_relaxed.cif,-0.3965201599999091
../../data/odac/pristine_CO2\ACOGEF\ACOGEF_w_CO2_4_relaxed.cif,-0.37942522999992434
../../data/odac/pristine_CO2\ACOGEF\ACOGEF_w_CO2_5_relaxed.cif,-0.34320490999994036
../../data/odac/pristine_CO2\ACOGEF\ACOGEF_w_CO2_random_1_relaxed.cif,-0.3549284399998669
../../data/odac/pristine_CO2\ACOGEF\ACOGEF_w_CO2_random_2_relaxed.cif,-0.28281693999997515
../../data/odac/pristine_CO2\ACOLIP\ACOLIP_w_CO2_1_relaxed.cif,-0.4301247199999807
../../data/odac/pristine_CO2\ACOLIP\ACOLIP_w_CO2_2_relaxed.cif,-0.4566336499999579
../../data/odac/pristine_CO2\ACOLIP\ACOLIP_w_CO2_3_relaxed.cif,-0.4322507599999881
../../data/odac/pristine_CO2\ACOLIP\ACOLIP_w_CO2_4_relaxed.cif,-0.40239810999992187
../../data/odac/pristine_CO2\ACOLIP\ACOLIP_w_CO2_5_relaxed.cif,-0.4405577100000073
../../data/odac/pristine_CO2\ACOLIP\ACOLIP_w_CO2_random_1_relaxed.cif,-0.4516658299999108
../../data/odac/pristine_CO2\ACOLIP\ACOLIP_w_CO2_random_2_relaxed.cif,-0.26760423999996874
../../data/odac/pristine_CO2\acs.cgd.5b01686_WAHFUJ1434675\acs.cgd.5b01686_WAHFUJ1434675_w_CO2_1_relaxed.cif,-0.18171848000019963
../../data/odac/pristine_CO2\acs.cgd.5b01686_WAHFUJ1434675\acs.cgd.5b01686_WAHFUJ1434675_w_CO2_2_relaxed.cif,-0.15945514000009098
../../data/odac/pristine_CO2\acs.cgd.5b01686_WAHFUJ1434675\acs.cgd.5b01686_WAHFUJ1434675_w_CO2_3_relaxed.cif,-0.178847080000196
../../data/odac/pristine_CO2\acs.cgd.5b01686_WAHFUJ1434675\acs.cgd.5b01686_WAHFUJ1434675_w_CO2_4_relaxed.cif,-0.18309227000008832
../../data/odac/pristine_CO2\acs.cgd.5b01686_WAHFUJ1434675\acs.cgd.5b01686_WAHFUJ1434675_w_CO2_5_relaxed.cif,-0.1866664900003343
../../data/odac/pristine_CO2\acs.cgd.5b01686_WAHFUJ1434675\acs.cgd.5b01686_WAHFUJ1434675_w_CO2_random_1_relaxed.cif,-0.18589574000020548
../../data/odac/pristine_CO2\acs.cgd.5b01686_WAHFUJ1434675\acs.cgd.5b01686_WAHFUJ1434675_w_CO2_random_2_relaxed.cif,-0.13789683000004516
../../data/odac/pristine_CO2\acs.chemrev.6b00346_cr6b00346_si_001\acs.chemrev.6b00346_cr6b00346_si_001_w_CO2_1_relaxed.cif,-0.044647339999755786
../../data/odac/pristine_CO2\acs.chemrev.6b00346_cr6b00346_si_001\acs.chemrev.6b00346_cr6b00346_si_001_w_CO2_2_relaxed.cif,-0.1332798000000821
../../data/odac/pristine_CO2\acs.chemrev.6b00346_cr6b00346_si_001\acs.chemrev.6b00346_cr6b00346_si_001_w_CO2_random_1_relaxed.cif,-0.03730577000010271
../../data/odac/pristine_CO2\acs.chemrev.6b00346_cr6b00346_si_001\acs.chemrev.6b00346_cr6b00346_si_001_w_CO2_random_2_relaxed.cif,-0.037704910000229575
../../data/odac/pristine_CO2\acs.inorgchem.5b02108_ic5b02108_si_002\acs.inorgchem.5b02108_ic5b02108_si_002_w_CO2_1_relaxed.cif,-0.7001350400000774
../../data/odac/pristine_CO2\acs.inorgchem.5b02108_ic5b02108_si_002\acs.inorgchem.5b02108_ic5b02108_si_002_w_CO2_2_relaxed.cif,-0.6257619400000749
../../data/odac/pristine_CO2\acs.inorgchem.5b02108_ic5b02108_si_002\acs.inorgchem.5b02108_ic5b02108_si_002_w_CO2_3_relaxed.cif,-0.22153653999998824
../../data/odac/pristine_CO2\acs.inorgchem.5b02108_ic5b02108_si_002\acs.inorgchem.5b02108_ic5b02108_si_002_w_CO2_4_relaxed.cif,-0.14631635000000642
../../data/odac/pristine_CO2\acs.inorgchem.5b02108_ic5b02108_si_002\acs.inorgchem.5b02108_ic5b02108_si_002_w_CO2_5_relaxed.cif,-0.1162063599999783
../../data/odac/pristine_CO2\acs.inorgchem.5b02108_ic5b02108_si_002\acs.inorgchem.5b02108_ic5b02108_si_002_w_CO2_random_1_relaxed.cif,-0.16038016000015887
../../data/odac/pristine_CO2\acs.inorgchem.5b02108_ic5b02108_si_002\acs.inorgchem.5b02108_ic5b02108_si_002_w_CO2_random_2_relaxed.cif,-0.1935769199999413
../../data/odac/pristine_CO2\acs.inorgchem.5b02973_ic5b02973_si_002\acs.inorgchem.5b02973_ic5b02973_si_002_w_CO2_1_relaxed.cif,-0.08095815000024231
../../data/odac/pristine_CO2\acs.inorgchem.5b02973_ic5b02973_si_002\acs.inorgchem.5b02973_ic5b02973_si_002_w_CO2_2_relaxed.cif,-0.07661234000011063
../../data/odac/pristine_CO2\acs.inorgchem.5b02973_ic5b02973_si_002\acs.inorgchem.5b02973_ic5b02973_si_002_w_CO2_4_relaxed.cif,-0.08073168000032638
../../data/odac/pristine_CO2\acs.inorgchem.5b02973_ic5b02973_si_002\acs.inorgchem.5b02973_ic5b02973_si_002_w_CO2_5_relaxed.cif,0.04687978999959341
../../data/odac/pristine_CO2\acs.inorgchem.5b02973_ic5b02973_si_002\acs.inorgchem.5b02973_ic5b02973_si_002_w_CO2_random_1_relaxed.cif,0.008291499999586449
../../data/odac/pristine_CO2\acs.inorgchem.5b02973_ic5b02973_si_002\acs.inorgchem.5b02973_ic5b02973_si_002_w_CO2_random_2_relaxed.cif,-0.09026211000013973
../../data/odac/pristine_CO2\acs.inorgchem.6b00433_ic6b00433_si_002\acs.inorgchem.6b00433_ic6b00433_si_002_w_CO2_1_relaxed.cif,-0.4760803499998474
../../data/odac/pristine_CO2\acs.inorgchem.6b00433_ic6b00433_si_002\acs.inorgchem.6b00433_ic6b00433_si_002_w_CO2_2_relaxed.cif,-0.4678849000001719
../../data/odac/pristine_CO2\acs.inorgchem.6b00433_ic6b00433_si_002\acs.inorgchem.6b00433_ic6b00433_si_002_w_CO2_3_relaxed.cif,-0.2941737099999955
../../data/odac/pristine_CO2\acs.inorgchem.6b00433_ic6b00433_si_002\acs.inorgchem.6b00433_ic6b00433_si_002_w_CO2_4_relaxed.cif,-0.5515497800001867
../../data/odac/pristine_CO2\acs.inorgchem.6b00433_ic6b00433_si_002\acs.inorgchem.6b00433_ic6b00433_si_002_w_CO2_5_relaxed.cif,-0.3975352800002838
../../data/odac/pristine_CO2\acs.inorgchem.6b00433_ic6b00433_si_002\acs.inorgchem.6b00433_ic6b00433_si_002_w_CO2_6_relaxed.cif,-0.4940143100000114
