MOF,atomic_num_mean,atomic_num_geometric_mean,atomic_num_standard_deviation,atomic_num_max,atomic_num_min,group_num_mean,group_num_geometric_mean,group_num_standard_deviation,group_num_max,group_num_min,period_num_mean,period_num_geometric_mean,period_num_standard_deviation,period_num_max,period_num_min,electronegativity_mean,electronegativity_geometric_mean,electronegativity_standard_deviation,electronegativity_max,electronegativity_min,electron_affinity_mean,electron_affinity_geometric_mean,electron_affinity_standard_deviation,electron_affinity_max,electron_affinity_min,melting_mean,melting_geometric_mean,melting_standard_deviation,melting_max,melting_min,boiling_mean,boiling_geometric_mean,boiling_standard_deviation,boiling_max,boiling_min,density_mean,density_geometric_mean,density_standard_deviation,density_max,density_min,ionization_energy_mean,ionization_energy_geometric_mean,ionization_energy_standard_deviation,ionization_energy_max,ionization_energy_geometric_min,energy
ABEXEM_FSR,7.911111111111111,4.969128230384587,10.905293764899938,57.0,1.0,12.088888888888889,8.304651893626652,6.036268980908368,19.0,1.0,1.9555555555555555,1.8002790606832295,0.9650689222492648,6.0,1.0,2.7480000000000007,2.668011404935015,0.6056717115915372,3.44,1.1,113.81333333333336,91.31229113724598,48.23644818322897,153.9,7.0,1269.41,176.0834273491746,1732.1984704351223,3823.15,14.009999999999993,1545.3864444444448,250.80726482615128,1997.170224423831,4300.15,20.279999999999973,976.8741777777776,10.957385777967245,1521.040044816073,6146.0,0.0899,1216.1088888888887,1196.8188534059036,184.30872026421343,1402.3,538.1,-0.46665692374998
ABEXOW_FSR,8.0,4.9767503471103245,11.30584902704004,59.0,1.0,12.088888888888889,8.304651893626652,6.036268980908368,19.0,1.0,1.9555555555555555,1.8002790606832295,0.9650689222492648,6.0,1.0,2.7493333333333334,2.671203953129564,0.6020645960175518,3.44,1.13,113.90222222222224,91.47811039775604,48.11678149802204,153.9,7.0,1269.9433333333334,176.16182558904208,1732.176447671157,3823.15,14.009999999999993,1537.6531111111117,250.2763579764895,1988.988543092887,4300.15,20.279999999999973,998.8297333333333,10.995100355848727,1597.156496491714,6640.0,0.0899,1215.6155555555554,1195.710640843954,186.1287343695881,1402.3,527.0,-0.30318775124979425
ABEYAJ_FSR,8.133333333333333,4.987732740022432,11.908167132033562,62.0,1.0,12.088888888888889,8.304651893626652,6.036268980908368,19.0,1.0,1.9555555555555555,1.8002790606832295,0.9650689222492648,6.0,1.0,2.7511111111111117,2.675336961037328,0.5973207670635872,3.44,1.17,113.90222222222224,91.47811039775604,48.11678149802204,153.9,7.0,1276.21,177.03092607995293,1732.1821396659702,3823.15,14.009999999999993,1471.5642222222218,244.33982255616783,1944.8023507361456,4300.15,20.279999999999973,1030.518622222222,11.04505620986292,1711.73120026243,7353.0,0.0899,1216.3933333333332,1197.447935065461,183.26410498997825,1402.3,544.5,-0.39626969500002923
ABEYIR_FSR,8.222222222222221,4.9947756643594845,12.310589639978684,64.0,1.0,12.088888888888889,8.304651893626652,6.036268980908368,19.0,1.0,1.9555555555555555,1.8002790606832295,0.9650689222492648,6.0,1.0,2.752444444444445,2.678349040590567,0.5938131227005327,3.44,1.2,113.90222222222224,91.47811039775604,48.11678149802204,153.9,7.0,1286.9211111111113,178.3323725236724,1733.3200693623555,3823.15,14.009999999999993,1535.8753333333336,250.15081181950973,1987.19440630654,4300.15,20.279999999999973,1054.8741777777775,11.080398368351911,1802.984316681859,7901.0,0.0899,1218.5666666666664,1202.033646210357,175.40464202649952,1402.3,593.4,-0.3939730137500703
ACAJOF_FSR,4.918032786885246,3.072521496183087,5.233232652856647,29.0,1.0,8.655737704918034,4.6001119694101344,6.657635197501029,16.0,1.0,1.639344262295082,1.5226215234118,0.6536853127008814,4.0,1.0,2.5122950819672125,2.4807099928243628,0.4199976324781942,3.44,1.9,111.66065573770491,99.07031622975931,42.30733873745095,153.9,7.0,1501.2647540983603,169.5138595415028,1821.6440037267064,3823.15,14.009999999999993,1737.3401639344263,228.39301886222495,2053.96155758277,4300.15,20.279999999999973,1146.168383606558,9.371952410966593,1801.1935928671546,8960.0,0.0899,1211.611475409836,1202.356980758672,141.01436399147968,1402.3,745.5,-0.24876903500016087
ACOLIP_FSR,4.862745098039215,3.298523530221816,4.441425349040938,30.0,1.0,9.372549019607844,5.312665059753384,6.483646953391628,16.0,1.0,1.6666666666666667,1.5659724411750873,0.5829830881301377,4.0,1.0,2.519803921568628,2.4924557772680567,0.382455893630699,3.44,1.65,105.25490196078432,0.0,51.74073115336221,153.9,0.0,1678.486666666667,219.28305406179223,1870.27692089645,3823.15,14.009999999999993,1900.3249019607845,283.84621827136425,2096.207969969164,4300.15,20.279999999999973,1115.1701784313727,14.267623381105327,1399.7407692542156,7140.0,0.0899,1215.774509803921,1208.7505411580808,129.23418148452598,1402.3,906.4,-0.41160500285710505
ADABUE_FSR,5.872340425531915,3.9843316459616474,5.522168173002246,29.0,1.0,10.382978723404255,6.480104516614075,6.180109451242311,16.0,1.0,1.7872340425531914,1.6756035560310134,0.6502428421249414,4.0,1.0,2.598085106382978,2.566316153512221,0.4131026264633839,3.44,1.9,95.8787234042553,62.62595839918539,57.025406566853896,153.9,7.0,1462.8751063829789,200.2166258170065,1796.2226106623796,3823.15,14.009999999999993,1706.1993617021276,262.2583484518713,2030.1126735478483,4300.15,20.279999999999973,1199.1379702127665,12.694415409703776,1955.9490593257935,8960.0,0.0899,1225.7042553191484,1213.575106907866,162.28731935812317,1402.3,745.5,-0.16335181142863214
ADIQEL_FSR,5.171428571428572,3.5328402055481374,4.582486625563614,27.0,1.0,9.685714285714283,5.702000403241718,6.368545151519204,16.0,1.0,1.7142857142857142,1.6084981600629786,0.6127888739864918,4.0,1.0,2.540571428571428,2.511862278933331,0.3987261348497798,3.44,1.88,113.64857142857144,96.33603223919783,46.03762666979865,153.9,7.0,1812.9191428571432,266.1529481714573,1866.843444272974,3823.15,14.009999999999993,2078.9037142857146,347.29720736163426,2103.647595745591,4300.15,20.279999999999973,1287.6941942857147,20.45083271383018,1714.6106560570242,8900.0,0.0899,1198.5314285714278,1189.7269075104207,139.7508083726757,1402.3,760.4,-0.29100399500004903
ADODII_FSR,5.469026548672566,3.475455411630821,7.434755498190862,57.0,1.0,9.823008849557525,5.656101703288801,6.594755342427067,19.0,1.0,1.7168141592920354,1.5955680420005154,0.746306854594974,6.0,1.0,2.550088495575221,2.5075084809310133,0.4623420477954428,3.44,1.1,121.14867256637169,113.97459152824476,38.49726140137843,153.9,48.0,1794.6075221238937,251.90857142028509,1879.1698846092067,3823.15,14.009999999999993,2067.327876106195,336.31581338406966,2117.5759118377523,4300.15,20.279999999999973,1149.0508584070797,18.46099392256818,1303.3175885000533,6146.0,0.0899,1194.8522123893804,1184.3997650483611,142.39906352067598,1313.9,538.1,-0.2546053199999581
ADODOO_FSR,5.575221238938053,3.481617249784078,8.175947142485516,63.0,1.0,9.823008849557525,5.656101703288801,6.594755342427067,19.0,1.0,1.7168141592920354,1.5955680420005154,0.7463068545949741,6.0,1.0,,,,,,121.18407079646018,114.05696942848272,38.43084713803744,153.9,50.0,1792.8907079646012,251.53047068497727,1879.763722906015,3823.15,14.009999999999993,2033.044690265487,331.99578146789173,2105.9119858505005,4300.15,20.279999999999973,1133.0862566371684,18.409207019322743,1246.2878209147027,5244.0,0.0899,1195.0115044247786,1184.7475303863353,141.66746539909565,1313.9,547.1,-0.3262214450000253
