iter	RMSE
0	1.127847121
1	1.099892013
2	1.063703937
3	1.039539099
4	1.020535361
5	0.9984331498
6	0.9736008637
7	0.9582215553
8	0.9480577905
9	0.9306829312
10	0.9179392004
11	0.9115470171
12	0.8960461883
13	0.8786747062
14	0.8707701052
15	0.8629450313
16	0.8580111913
17	0.8523072725
18	0.849509809
19	0.84236637
20	0.8394814722
21	0.8298266114
22	0.8232818288
23	0.8174980725
24	0.8083898803
25	0.7965152026
26	0.7886360678
27	0.7823212758
28	0.7777648344
29	0.7738691281
30	0.7660698827
31	0.7588378413
32	0.7552802064
33	0.7519733769
34	0.7426139995
35	0.7395027985
36	0.7351716963
37	0.7289941753
38	0.7224657311
39	0.7157719596
40	0.7102717008
41	0.7073480035
42	0.7051865024
43	0.700894213
44	0.6972380598
45	0.6947984889
46	0.6907444013
47	0.6868577871
48	0.6832462823
49	0.6801863652
50	0.6772131051
51	0.6719319853
52	0.6694631959
53	0.6649228824
54	0.6616270729
55	0.6595737272
56	0.6570616005
57	0.6523935447
58	0.6494926574
59	0.6429162133
60	0.6385011914
61	0.6349290369
62	0.6306637519
63	0.6291027827
64	0.6262089079
65	0.6247204371
66	0.6223729181
67	0.6193906099
68	0.615652452
69	0.6145493799
70	0.6117999269
71	0.6103805479
72	0.6084314255
73	0.6043010462
74	0.6026430967
75	0.6023937005
76	0.6000106144
77	0.5985449886
78	0.5935726848
79	0.5883453503
80	0.5859508315
81	0.5854081344
82	0.5826047269
83	0.5811524881
84	0.5799259218
85	0.5784887584
86	0.5760324545
87	0.5737087419
88	0.5708543545
89	0.5690285248
90	0.5679642428
91	0.5663776176
92	0.5649294948
93	0.5604714752
94	0.5583634149
95	0.5568188123
96	0.5554890646
97	0.5542882735
98	0.5518704936
99	0.5497677843
