iter	Passed	Remaining
0	150	14948
1	154	7579
2	157	5107
3	160	3843
4	163	3112
5	166	2611
6	169	2254
7	171	1977
8	175	1769
9	178	1603
10	180	1462
11	183	1343
12	185	1242
13	188	1155
14	189	1076
15	192	1008
16	194	950
17	197	901
18	200	853
19	202	811
20	205	772
21	207	735
22	209	700
23	212	671
24	213	641
25	216	616
26	219	594
27	222	571
28	225	551
29	227	531
30	230	513
31	232	494
32	235	477
33	237	461
34	240	446
35	242	431
36	244	417
37	247	403
38	249	390
39	252	378
40	255	368
41	258	356
42	261	346
43	263	335
44	266	325
45	268	314
46	270	305
47	273	295
48	275	286
49	277	277
50	280	269
51	282	260
52	284	252
53	286	244
54	288	236
55	291	228
56	293	221
57	296	214
58	298	207
59	300	200
60	302	193
61	305	187
62	307	180
63	310	174
64	312	168
65	315	162
66	317	156
67	319	150
68	322	144
69	325	139
70	327	133
71	330	128
72	332	122
73	334	117
74	336	112
75	338	106
76	340	101
77	342	96
78	344	91
79	347	86
80	349	81
81	351	77
82	354	72
83	356	67
84	357	63
85	359	58
86	362	54
87	364	49
88	366	45
89	368	40
90	370	36
91	373	32
92	375	28
93	377	24
94	379	19
95	381	15
96	383	11
97	385	7
98	387	3
99	389	0
